step,ego_vid,cri_left,cri_right,alert_left,alert_right,scenario_type,top_threat,top_cri
689,bsp_42,0.33850785860403615,0.0,CAUTION,SAFE,normal,bsp_40,0.33850785860403615
689,bsp_43,0.0,0.5191755919396958,SAFE,CAUTION,normal,bsp_40,0.5191755919396958
708,bsp_42,0.6608253885530119,0.0,WARNING,SAFE,normal,bsp_43,0.6608253885530119
725,bsd_demo_17,0.6950616651483249,0.0,WARNING,SAFE,normal,9,0.6950616651483249
726,bsd_demo_17,0.7544352754238277,0.0,WARNING,SAFE,normal,9,0.7544352754238277
727,bsd_demo_17,0.49960881573395804,1.1379339718078966e-256,CAUTION,SAFE,normal,9,0.49960881573395804
728,bsd_demo_17,0.5421028801045789,0.0,CAUTION,SAFE,normal,9,0.5421028801045789
729,bsd_demo_17,0.6315165826352259,0.0,CAUTION,SAFE,normal,9,0.6315165826352259
730,bsd_demo_17,0.5312590199498464,0.0,CAUTION,SAFE,normal,9,0.5312590199498464
731,bsd_demo_17,0.37196343699293966,0.0,CAUTION,SAFE,normal,9,0.37196343699293966
732,bsd_demo_17,0.49955147866299165,0.0,CAUTION,SAFE,normal,9,0.49955147866299165
733,bsd_demo_17,0.5954325123893834,0.0,CAUTION,SAFE,normal,9,0.5954325123893834
734,bsd_demo_17,0.38257766976293345,0.0,CAUTION,SAFE,normal,9,0.38257766976293345
735,bsd_demo_17,0.7040710606689836,0.0,CAUTION,SAFE,normal,9,0.7040710606689836
736,bsd_demo_17,0.5538121437208494,0.0,CAUTION,SAFE,normal,9,0.5538121437208494
796,bsd_demo_8,0.0,0.7083935868559531,SAFE,WARNING,HNR,bsd_demo_7,0.7083935868559531
797,bsd_demo_8,0.0,0.6749598407458293,SAFE,WARNING,HNR,bsd_demo_7,0.6749598407458293
798,bsd_demo_8,0.0,0.538305471498651,SAFE,CAUTION,HNR,bsd_demo_7,0.538305471498651
799,bsd_demo_8,0.0,0.6127744259322041,SAFE,CAUTION,HNR,bsd_demo_7,0.6127744259322041
800,bsd_demo_8,0.0,0.5435829209568989,SAFE,CAUTION,HNR,bsd_demo_7,0.5435829209568989
800,bsp_51,0.0,0.48352099087488914,SAFE,CAUTION,HNR,bsp_48,0.48352099087488914
801,bsp_51,0.0,0.6101970502857109,SAFE,CAUTION,HNR,bsp_48,0.6101970502857109
802,bsp_51,0.0,0.7557068801960354,SAFE,CAUTION,HNR,bsp_48,0.7557068801960354
805,bsd_demo_19,0.6891780606225005,0.0,WARNING,SAFE,HNR,bsd_demo_20,0.6891780606225005
806,bsd_demo_19,0.6916341133526918,0.0,WARNING,SAFE,HNR,bsd_demo_20,0.6916341133526918
807,bsd_demo_19,0.7565010694182299,0.0,WARNING,SAFE,HNR,bsd_demo_20,0.7565010694182299
808,bsd_demo_19,0.6807612179081544,0.0,WARNING,SAFE,HNR,bsd_demo_20,0.6807612179081544
809,bsd_demo_19,0.6339525291963125,0.0,WARNING,SAFE,HNR,bsd_demo_20,0.6339525291963125
